Case 6
Time 8040.903144
stage, value
%Stage 0, 40, 40, 0.1437125748502994, 0.09150326797385601
%Stage 1, 30, 70, 0.1600374356574639, 0.12302839116719211
%Stage 2, 60, 130, 0.17420212765957457, 0.1568877551020409
%Stage 3, 60, 190, 0.1755789473684215, 0.16958775610960244
%Stage 4, 60, 250, 0.1745454545454546, 0.17748917748917822
%Stage 5, 60, 310, 0.16867002714230322, 0.17440225035161758
%Stage 6, 60, 370, 0.16114790286975764, 0.1784335981838811
%Stage 7, 200, 570, 0.16865776528461052, 0.21122112211221047
%Stage 8, 200, 770, 0.16865776528461052, 0.20609703735508678
%Stage 9, 200, 970, 0.16865776528461052, 0.20100502512562715
%Stage 10, 200, 1170, 0.16865776528461052, 0.19615856150388125
