reconfigureRate is 120, reconfigureDcRate is 40 
Case 0
Time 117162.529139
stage, value
%Stage 0, 680, 680,0.22305389221556887, 0.2050653594771236
%Stage 1, 600, 1280,0.22514071294559174, 0.2334384858044154
%Stage 2, 400, 1680,0.21323856063971502, 0.2448979591836746
%Stage 3, 400, 2080,0.20134228187919428, 0.23839086168363666
%Stage 4, 200, 2280,0.1902497027348401, 0.23160434258142232
%Stage 5, 200, 2480,0.18168054504163558, 0.22450888681010406
%Stage 6, 200, 2680,0.1750547045951863, 0.21872863978127186
%Stage 7, 200, 2880,0.16865776528461052, 0.21201413427561935
%Stage 8, 200, 3080,0.16865776528461052, 0.20707506471095916
%Stage 9, 200, 3280,0.16865776528461052, 0.20240354206198644
%Stage 10, 200, 3480,0.16865776528461052, 0.19672131147540953
