reconfigureRate is 5, reconfigureDcRate is 0 
Case 0
Time 71759.31359899999
stage, value
%Stage 0, 120, 120,0.15755968169761272, 0.07748797163838951
%Stage 1, 180, 300,0.17194570135746573, 0.09395807644882855
%Stage 2, 200, 500,0.19121813031161444, 0.12164107485604651
%Stage 3, 280, 780,0.19191470457574356, 0.1317685335812222
%Stage 4, 170, 950,0.19240506329113993, 0.132521974306964
%Stage 5, 200, 1150,0.1939393939393941, 0.1451718852638501
%Stage 6, 200, 1350,0.18604651162790653, 0.15281329923273665
%Stage 7, 200, 1550,0.17731806427779895, 0.14928467758656472
%Stage 8, 200, 1750,0.16865776528461052, 0.14625228519195527
%Stage 9, 200, 1950,0.16865776528461052, 0.14331210191082852
%Stage 10, 200, 2150,0.16865776528461052, 0.14032352367959464
reconfigureRate is 5, reconfigureDcRate is 2 
Case 2
Time 68702.36978200001
stage, value
%Stage 0, 120, 120,0.16074270557029177, 0.08128640162066353
%Stage 1, 210, 330,0.17797888386123645, 0.09765721331689264
%Stage 2, 200, 530,0.19121813031161444, 0.12667946257197743
%Stage 3, 280, 810,0.19191470457574356, 0.1359516616314198
%Stage 4, 170, 980,0.1911392405063298, 0.14076246334310857
%Stage 5, 200, 1180,0.1939393939393941, 0.15512708150745005
%Stage 6, 200, 1380,0.18604651162790653, 0.15355086372360824
%Stage 7, 200, 1580,0.17731806427779895, 0.14928467758656472
%Stage 8, 200, 1780,0.16865776528461052, 0.1462225832656368
%Stage 9, 200, 1980,0.16865776528461052, 0.14308426073131938
%Stage 10, 200, 2180,0.16865776528461052, 0.14010507880910592
