Case 6
Time 3640.155717
stage, value
%Stage 0, 0, 0, 0.14801061007957558, 0.06609268169156746
%Stage 1, 0, 0, 0.15837104072398162, 0.08064118372379779
%Stage 2, 0, 0, 0.17138810198300258, 0.09716890595009621
%Stage 3, 80, 80, 0.17458907152376674, 0.11224726934696697
%Stage 4, 40, 120, 0.17341772151898793, 0.11494252873563218
%Stage 5, 60, 180, 0.16700040048057654, 0.11619718309859198
%Stage 6, 60, 240, 0.15933232169954462, 0.1147893379191743
%Stage 7, 120, 360, 0.16636264137176213, 0.13550815558343843
%Stage 8, 200, 560, 0.16865776528461052, 0.1465499694687566
%Stage 9, 200, 760, 0.16865776528461052, 0.1429138547042475
%Stage 10, 200, 960, 0.16865776528461052, 0.1401323472168164
