Case 6
Time 18.331925000000002
stage, value
%Stage 0, 0, 0, 0.02631578947368421, 0.007036747458952305
%Stage 1, 0, 0, 0.03438789546079781, 0.00986592461421705
%Stage 2, 0, 0, 0.07217847769028876, 0.02434226702729283
%Stage 3, 0, 0, 0.09480249480249481, 0.03494176372712148
%Stage 4, 0, 0, 0.10059880239520963, 0.037318590186592934
%Stage 5, 30, 30, 0.12399540757749736, 0.05319865319865318
%Stage 6, 80, 110, 0.15370438628824207, 0.07509795385285159
%Stage 7, 190, 300, 0.1676036542515817, 0.0946232006773922
%Stage 8, 200, 500, 0.16865776528461052, 0.09747069710055525
%Stage 9, 200, 700, 0.16865776528461052, 0.09595654797827383
%Stage 10, 200, 900, 0.16865776528461052, 0.09398864303896633
