reconfigureRate is 120, reconfigureDcRate is 40 
Case 0
Time 14190.618608000006
stage, value
%Stage 0, 0, 0,0.19298245614035087, 0.06489444878811566
%Stage 1, 0, 0,0.18844566712517144, 0.06651549508692357
%Stage 2, 240, 240,0.2060367454068249, 0.10433504775900042
%Stage 3, 400, 640,0.19718892104175267, 0.1128840200047632
%Stage 4, 200, 840,0.18994855559952506, 0.11059587294226793
%Stage 5, 200, 1040,0.18140589569160986, 0.10721510451786899
%Stage 6, 200, 1240,0.17479970866715255, 0.10394421442580043
%Stage 7, 200, 1440,0.16865776528461052, 0.10163031971204721
%Stage 8, 200, 1640,0.16865776528461052, 0.09872480460715759
%Stage 9, 200, 1840,0.16865776528461052, 0.09615384615384595
%Stage 10, 200, 2040,0.16865776528461052, 0.0941176470588238
