reconfigureRate is 5, reconfigureDcRate is 0 
Case 0
Time 32377.692000000003
stage, value
%Stage 0, 62, 62,0.05641025641025641, 0.020625644551392226
%Stage 1, 120, 182,0.11547619047619045, 0.051020408163265335
%Stage 2, 220, 402,0.1677777777777777, 0.09596441054972982
%Stage 3, 286, 688,0.18020833333333314, 0.10442748091603053
%Stage 4, 280, 968,0.18578431372548987, 0.12069473064468644
%Stage 5, 349, 1317,0.19490740740740742, 0.15754985754985726
%Stage 6, 403, 1720,0.197368421052632, 0.17520661157024783
%Stage 7, 447, 2167,0.19583333333333347, 0.1811632870864457
%Stage 8, 447, 2614,0.18650793650793607, 0.17577012684442114
%Stage 9, 447, 3061,0.17803030303030284, 0.17009018036072104
%Stage 10, 447, 3508,0.1702898550724636, 0.16524701873935255
reconfigureRate is 5, reconfigureDcRate is 2 
Case 2
Time 49893.09999999999
stage, value
%Stage 0, 65, 65,0.06346153846153846, 0.02165692677896184
%Stage 1, 203, 268,0.13214285714285703, 0.06583278472679395
%Stage 2, 249, 517,0.1699999999999999, 0.09755322529393066
%Stage 3, 350, 867,0.17708333333333315, 0.11440807586417862
%Stage 4, 316, 1183,0.18970588235294084, 0.15783239561741214
%Stage 5, 385, 1568,0.2050925925925926, 0.1613363792118789
%Stage 6, 412, 1980,0.20263157894736886, 0.16143250688705232
%Stage 7, 433, 2413,0.19583333333333344, 0.1672892209178225
%Stage 8, 446, 2859,0.18650793650793607, 0.17473466217965283
%Stage 9, 447, 3306,0.17803030303030284, 0.17009018036072104
%Stage 10, 447, 3753,0.1702898550724636, 0.16512645914396842
